From_Station,From_City,To_Station,To_City,Fare_Rate
Maastricht,Maastricht,Rheden,Rheden,61
Maastricht,Maastricht,Rotterdam Centraal,Rotterdam,167
Maastricht,Maastricht,Tilburg,Tilburg,135
Maastricht,Maastricht,Utrecht Centraal,Utrech,111
Maastricht,Maastricht,Vlissingen,Vlissingen,255
Maastricht,Maastricht,Zwolle,Zwolle,127
Nijmegen,Nijmegen,Amsterdam Centraal,Amsterdam,115
Nijmegen,Nijmegen,Arnhem Centraal,Arnhem,19
Nijmegen,Nijmegen,Breda,Breda,86
Nijmegen,Nijmegen,Bunnik,Bunnik,69
Nijmegen,Nijmegen,Delft,Delft,136
Nijmegen,Nijmegen,Deventer,Deventer,64
Nijmegen,Nijmegen,Diemen,Diemen,108
Nijmegen,Nijmegen,Driebergen-Zeist,Zeist,65
Nijmegen,Nijmegen,Dronten,Dronten,127
Nijmegen,Nijmegen,Ede Centrum,Ede,38
Nijmegen,Nijmegen,Ede-Wageningen,Wageningen,36
Nijmegen,Nijmegen,Eindhoven Centraal,Eindhoven,75
Nijmegen,Nijmegen,Enschede,Enschede,101
Nijmegen,Nijmegen,Groningen,Groningen,201
Nijmegen,Nijmegen,Haarlem,Haarlem,134
Nijmegen,Nijmegen,Harlingen,Harlingen,216
Nijmegen,Nijmegen,Heerlen,Heerlen,46
Nijmegen,Nijmegen,Hilversum,Hilversum,86
Nijmegen,Nijmegen,Leeuwarden,Leeuwarden,190
Nijmegen,Nijmegen,Leiden Centraal,Leiden,127
Nijmegen,Nijmegen,Maarn,Utrechtse Heuvelrug,57
Nijmegen,Nijmegen,Maastricht,Maastricht,72
Nijmegen,Nijmegen,Rheden,Rheden,29
Nijmegen,Nijmegen,Rotterdam Centraal,Rotterdam,122
Nijmegen,Nijmegen,Tilburg,Tilburg,65
Nijmegen,Nijmegen,Utrecht Centraal,Utrech,77
Nijmegen,Nijmegen,Vlissingen,Vlissingen,185
Nijmegen,Nijmegen,Zwolle,Zwolle,95
Rotterdam Centraal,Rotterdam,Amsterdam Centraal,Amsterdam,86
Rotterdam Centraal,Rotterdam,Arnhem Centraal,Arnhem,114
Rotterdam Centraal,Rotterdam,Breda,Breda,50
Rotterdam Centraal,Rotterdam,Bunnik,Bunnik,64
Rotterdam Centraal,Rotterdam,Delft,Delft,14
Rotterdam Centraal,Rotterdam,Deventer,Deventer,135
Rotterdam Centraal,Rotterdam,Diemen,Diemen,85
Rotterdam Centraal,Rotterdam,Driebergen-Zeist,Zeist,68
Rotterdam Centraal,Rotterdam,Dronten,Dronten,152
Rotterdam Centraal,Rotterdam,Ede Centrum,Ede,99
Rotterdam Centraal,Rotterdam,Ede-Wageningen,Wageningen,97
Rotterdam Centraal,Rotterdam,Eindhoven Centraal,Eindhoven,108
Rotterdam Centraal,Rotterdam,Enschede,Enschede,191
Rotterdam Centraal,Rotterdam,Groningen,Groningen,249
Rotterdam Centraal,Rotterdam,Haarlem,Haarlem,67
Rotterdam Centraal,Rotterdam,Harlingen,Harlingen,264
Rotterdam Centraal,Rotterdam,Heerlen,Heerlen,141
Rotterdam Centraal,Rotterdam,Hilversum,Hilversum,74
Rotterdam Centraal,Rotterdam,Leeuwarden,Leeuwarden,238
Rotterdam Centraal,Rotterdam,Leiden Centraal,Leiden,38
Rotterdam Centraal,Rotterdam,Maarn,Utrechtse Heuvelrug,76
Rotterdam Centraal,Rotterdam,Maastricht,Maastricht,167
Rotterdam Centraal,Rotterdam,Nijmegen,Nijmegen,122
Rotterdam Centraal,Rotterdam,Rheden,Rheden,124
Rotterdam Centraal,Rotterdam,Tilburg,Tilburg,71
Rotterdam Centraal,Rotterdam,Utrecht Centraal,Utrech,56
Rotterdam Centraal,Rotterdam,Vlissingen,Vlissingen,133
Rotterdam Centraal,Rotterdam,Zwolle,Zwolle,143
Tilburg,Tilburg,Amsterdam Centraal,Amsterdam,109
Tilburg,Tilburg,Arnhem Centraal,Arnhem,84
Tilburg,Tilburg,Breda,Breda,21
Tilburg,Tilburg,Bunnik,Bunnik,76
Tilburg,Tilburg,Delft,Delft,85
Tilburg,Tilburg,Deventer,Deventer,129
Tilburg,Tilburg,Diemen,Diemen,108
Tilburg,Tilburg,Driebergen-Zeist,Zeist,80
Tilburg,Tilburg,Dronten,Dronten,168
Tilburg,Tilburg,Ede Centrum,Ede,103
Tilburg,Tilburg,Ede-Wageningen,Wageningen,101
Tilburg,Tilburg,Eindhoven Centraal,Eindhoven,37
Tilburg,Tilburg,Enschede,Enschede,166
Tilburg,Tilburg,Groningen,Groningen,263
Tilburg,Tilburg,Haarlem,Haarlem,128
Tilburg,Tilburg,Harlingen,Harlingen,278
Tilburg,Tilburg,Heerlen,Heerlen,111
Tilburg,Tilburg,Hilversum,Hilversum,88
Tilburg,Tilburg,Leeuwarden,Leeuwarden,252
Tilburg,Tilburg,Leiden Centraal,Leiden,109
