From_Station,From_Country,To_Station,To_Country,Fare_Rate
Dronten,NL,Eindhoven Centraal,NL,178
Delft,NL,Eindhoven Centraal,NL,122
Deventer,NL,Eindhoven Centraal,NL,139
Ede-Wageningen,NL,Eindhoven Centraal,NL,111
Ede Centrum,NL,Eindhoven Centraal,NL,113
Enschede,NL,Eindhoven Centraal,NL,176
Groningen,NL,Eindhoven Centraal,NL,273
Haarlem,NL,Eindhoven Centraal,NL,138
Heerlen,NL,Eindhoven Centraal,NL,96
Hilversum,NL,Eindhoven Centraal,NL,98
Leiden Centraal,NL,Eindhoven Centraal,NL,130
Leeuwarden,NL,Eindhoven Centraal,NL,262
Maarn,NL,Eindhoven Centraal,NL,98
Nijmegen,NL,Eindhoven Centraal,NL,75
Rheden,NL,Eindhoven Centraal,NL,104
Rotterdam Centraal,NL,Eindhoven Centraal,NL,108
Tilburg,NL,Eindhoven Centraal,NL,37
Utrecht Centraal,NL,Eindhoven Centraal,NL,80
Vlissingen,NL,Eindhoven Centraal,NL,157
Zwolle,NL,Eindhoven Centraal,NL,167
Arnhem Centraal,NL,Enschede,NL,82
Amersfoort Centraal,NL,Enschede,NL,114
Breda,NL,Enschede,NL,187
Bunnik,NL,Enschede,NL,132
Driebergen-Zeist,NL,Enschede,NL,128
Diemen,NL,Enschede,NL,152
Dronten,NL,Enschede,NL,99
Delft,NL,Enschede,NL,204
Deventer,NL,Enschede,NL,61
Ede-Wageningen,NL,Enschede,NL,99
Ede Centrum,NL,Enschede,NL,101
Eindhoven Centraal,NL,Enschede,NL,176
Groningen,NL,Enschede,NL,173
Haarlem,NL,Enschede,NL,178
Heerlen,NL,Enschede,NL,107
Hilversum,NL,Enschede,NL,130
Leiden Centraal,NL,Enschede,NL,185
Leeuwarden,NL,Enschede,NL,162
Maarn,NL,Enschede,NL,120
Nijmegen,NL,Enschede,NL,101
Rheden,NL,Enschede,NL,72
Rotterdam Centraal,NL,Enschede,NL,191
Tilburg,NL,Enschede,NL,166
Utrecht Centraal,NL,Enschede,NL,135
Vlissingen,NL,Enschede,NL,286
Zwolle,NL,Enschede,NL,67
Arnhem Centraal,NL,Groningen,NL,182
Amersfoort Centraal,NL,Groningen,NL,172
Breda,NL,Groningen,NL,284
Bunnik,NL,Groningen,NL,201
Driebergen-Zeist,NL,Groningen,NL,205
Diemen,NL,Groningen,NL,210
Dronten,NL,Groningen,NL,138
Delft,NL,Groningen,NL,262
Deventer,NL,Groningen,NL,137
Ede-Wageningen,NL,Groningen,NL,199
Ede Centrum,NL,Groningen,NL,201
Eindhoven Centraal,NL,Groningen,NL,273
Enschede,NL,Groningen,NL,173
Haarlem,NL,Groningen,NL,236
Heerlen,NL,Groningen,NL,207
Hilversum,NL,Groningen,NL,188
Leiden Centraal,NL,Groningen,NL,243
Leeuwarden,NL,Groningen,NL,54
Maarn,NL,Groningen,NL,213
Nijmegen,NL,Groningen,NL,201
Rheden,NL,Groningen,NL,172
Rotterdam Centraal,NL,Groningen,NL,249
Tilburg,NL,Groningen,NL,263
Utrecht Centraal,NL,Groningen,NL,193
Vlissingen,NL,Groningen,NL,381
Zwolle,NL,Groningen,NL,106
Arnhem Centraal,NL,Harlingen,NL,197
Amersfoort Centraal,NL,Harlingen,NL,187
Breda,NL,Harlingen,NL,299
Bunnik,NL,Harlingen,NL,216
Driebergen-Zeist,NL,Harlingen,NL,220
Diemen,NL,Harlingen,NL,225
Dronten,NL,Harlingen,NL,153
Delft,NL,Harlingen,NL,277
Deventer,NL,Harlingen,NL,152
Ede-Wageningen,NL,Harlingen,NL,214
Ede Centrum,NL,Harlingen,NL,216
Eindhoven Centraal,NL,Harlingen,NL,288
Enschede,NL,Harlingen,NL,188
Groningen,NL,Harlingen,NL,80
Haarlem,NL,Harlingen,NL,251
Heerlen,NL,Harlingen,NL,222
Hilversum,NL,Harlingen,NL,203
Leiden Centraal,NL,Harlingen,NL,258
Leeuwarden,NL,Harlingen,NL,26
Maarn,NL,Harlingen,NL,228
Nijmegen,NL,Harlingen,NL,216
Rheden,NL,Harlingen,NL,187
Rotterdam Centraal,NL,Harlingen,NL,264
Tilburg,NL,Harlingen,NL,278
Utrecht Centraal,NL,Harlingen,NL,208
Vlissingen,NL,Harlingen,NL,396
Zwolle,NL,Harlingen,NL,121
Arnhem Centraal,NL,Haarlem,NL,115
Amersfoort Centraal,NL,Haarlem,NL,64
Breda,NL,Haarlem,NL,117
Bunnik,NL,Haarlem,NL,66
Driebergen-Zeist,NL,Haarlem,NL,70
Diemen,NL,Haarlem,NL,26
Dronten,NL,Haarlem,NL,98
Delft,NL,Haarlem,NL,53
Deventer,NL,Haarlem,NL,122
Ede-Wageningen,NL,Haarlem,NL,98
Ede Centrum,NL,Haarlem,NL,96
Eindhoven Centraal,NL,Haarlem,NL,138
Enschede,NL,Haarlem,NL,178
Groningen,NL,Haarlem,NL,236
